feature_transformada,coeficiente,abs_coeficiente
cat__uf_BA,2.4157533296749114,2.4157533296749114
cat__uf_GO,-2.104531141435199,2.104531141435199
cat__uf_CE,-1.9636176272785666,1.9636176272785666
num__meta_alvo,1.8945683954022512,1.8945683954022512
cat__uf_ES,-1.851381115909793,1.851381115909793
cat__uf_RS,1.6221199349499869,1.6221199349499869
cat__uf_MG,-1.5292163001971697,1.5292163001971697
cat__uf_AM,1.2911413919684682,1.2911413919684682
cat__uf_SE,1.0604276196425266,1.0604276196425266
cat__uf_PA,1.0198918836066622,1.0198918836066622
cat__uf_RN,0.9493904787857053,0.9493904787857053
cat__uf_AP,0.9027193552088281,0.9027193552088281
num__media_portugues_base,-0.8456970906706592,0.8456970906706592
cat__uf_SC,-0.8031991530948398,0.8031991530948398
cat__uf_PR,-0.68311960448831,0.68311960448831
cat__uf_TO,0.6712412251986193,0.6712412251986193
cat__uf_PE,-0.597236757146294,0.597236757146294
num__taxa_base,-0.5120301688535125,0.5120301688535125
cat__uf_MT,-0.4804621407054649,0.4804621407054649
cat__uf_MS,-0.384579184219223,0.384579184219223
cat__uf_RJ,0.29501671153599507,0.29501671153599507
cat__uf_AL,0.2572154822450096,0.2572154822450096
cat__uf_RO,-0.2306712723478095,0.2306712723478095
cat__uf_PB,0.21336768612804208,0.21336768612804208
cat__uf_MA,0.11023398228813869,0.11023398228813869
cat__uf_SP,-0.07907089556038886,0.07907089556038886
cat__uf_PI,-0.005687372227792611,0.005687372227792611
