feature_transformada,mean_abs_shap
num__media_portugues_2023_publica,0.46667496289670446
cat__uf_GO,0.20001870919996015
cat__uf_BA,0.10423039219160633
cat__uf_RS,0.10317953506941205
num__taxa_alfabetizacao_2023_publica,0.07830865967035146
num__meta_alfabetizacao_2024,0.06306374746451039
cat__uf_MS,0.037655578351756674
cat__uf_AL,0.012357837343765754
cat__uf_MT,0.008490692208222864
cat__uf_SC,0.005593990570871455
cat__uf_SE,0.004947164035881037
cat__rede_2,0.0037645626588575826
cat__rede_3,0.0009262028839107677
cat__uf_DF,0.0
