id_municipio,id_uf,meta_alvo,taxa_base,media_portugues_base,gap_base_meta,uf,regiao,prob_risco_abaixo_meta_2025,pred_risco_abaixo_meta_2025,faixa_risco
4320453,43,80.0,11.1,712.17,-68.9,RS,Sul,0.9986451441681365,1,Muito alto
4301073,43,80.0,18.2,713.54,-61.8,RS,Sul,0.998292356888396,1,Muito alto
4310850,43,80.0,25.0,713.77,-55.0,RS,Sul,0.9979471984311632,1,Muito alto
4313334,43,80.0,28.0,714.96,-52.0,RS,Sul,0.9976880766899424,1,Muito alto
4306700,43,80.0,26.7,718.83,-53.3,RS,Sul,0.9974442039805753,1,Muito alto
4319752,43,80.0,25.0,723.18,-55.0,RS,Sul,0.9971569511299553,1,Muito alto
4320354,43,75.7,23.5,709.41,-52.2,RS,Sul,0.9970910581609457,1,Muito alto
4321493,43,80.0,38.7,715.07,-41.3,RS,Sul,0.9969388025984377,1,Muito alto
4302584,43,80.0,27.3,727.09,-52.7,RS,Sul,0.9965457724793725,1,Muito alto
4305900,43,79.43,36.0,720.74,-43.43000000000001,RS,Sul,0.9962703497398192,1,Muito alto
4318614,43,80.0,37.5,726.25,-42.5,RS,Sul,0.9956323458739058,1,Muito alto
4313102,43,80.0,35.9,729.18,-44.1,RS,Sul,0.9953629089810003,1,Muito alto
4312203,43,80.0,33.3,732.07,-46.7,RS,Sul,0.9952090577811669,1,Muito alto
4310702,43,80.0,36.8,729.61,-43.2,RS,Sul,0.9951828660168108,1,Muito alto
4306973,43,75.37,38.5,711.61,-36.870000000000005,RS,Sul,0.9951796135520062,1,Muito alto
2910206,29,80.0,52.38,741.14,-27.619999999999997,BA,Nordeste,0.9951314153014148,1,Muito alto
4307203,43,80.0,38.8,728.52,-41.2,RS,Sul,0.9951148769366107,1,Muito alto
2924504,29,73.83,38.33,730.67,-35.5,BA,Nordeste,0.9949009935526656,1,Muito alto
4319000,43,80.0,38.3,730.19,-41.7,RS,Sul,0.9948913622695599,1,Muito alto
4313953,43,74.82,25.7,721.29,-49.11999999999999,RS,Sul,0.9948180145972181,1,Muito alto
4323507,43,80.0,33.3,734.39,-46.7,RS,Sul,0.9948095831075245,1,Muito alto
2933257,29,71.69,35.85,726.94,-35.839999999999996,BA,Nordeste,0.9945071436649379,1,Muito alto
4305124,43,76.56,39.8,719.89,-36.760000000000005,RS,Sul,0.994282066850003,1,Muito alto
4320230,43,80.0,36.1,735.29,-43.9,RS,Sul,0.9942446549925726,1,Muito alto
4307500,43,80.0,39.1,733.47,-40.9,RS,Sul,0.99415988230324,1,Muito alto
4302238,43,74.0,26.6,721.82,-47.4,RS,Sul,0.9940163526940173,1,Muito alto
4319208,43,65.1,7.1,704.48,-57.99999999999999,RS,Sul,0.9939607382837378,1,Muito alto
4314209,43,71.61,22.3,717.16,-49.31,RS,Sul,0.9938555586364461,1,Muito alto
4318903,43,80.0,42.3,733.31,-37.7,RS,Sul,0.9936923162956897,1,Muito alto
4322541,43,77.4,35.0,729.53,-42.400000000000006,RS,Sul,0.9936563978560674,1,Muito alto
4308409,43,80.0,40.0,735.23,-40.0,RS,Sul,0.9936487506153442,1,Muito alto
4321634,43,80.0,40.0,735.39,-40.0,RS,Sul,0.9936136230600893,1,Muito alto
4304408,43,79.06,42.2,730.64,-36.86,RS,Sul,0.9935481756684247,1,Muito alto
4322855,43,80.0,46.7,731.34,-33.3,RS,Sul,0.9933984431427049,1,Muito alto
4304952,43,80.0,40.0,736.44,-40.0,RS,Sul,0.9933782601354448,1,Muito alto
4311122,43,72.13,25.6,719.93,-46.529999999999994,RS,Sul,0.993101763167085,1,Muito alto
4300901,43,80.0,39.2,738.87,-40.8,RS,Sul,0.9929468893617946,1,Muito alto
4312617,43,72.3,29.4,718.65,-42.9,RS,Sul,0.992872913499448,1,Muito alto
4307401,43,80.0,48.4,732.44,-31.6,RS,Sul,0.9928363718756897,1,Muito alto
2900504,29,71.83,37.21,734.63,-34.62,BA,Nordeste,0.9927125349345377,1,Muito alto
4301552,43,80.0,37.5,742.0,-42.5,RS,Sul,0.9924806879703699,1,Muito alto
4305587,43,80.0,39.9,740.23,-40.1,RS,Sul,0.9924741769400746,1,Muito alto
4311254,43,80.0,42.9,738.15,-37.1,RS,Sul,0.9924315806808708,1,Muito alto
